Address, Area, Size(in m^2), Price(in NOK), Bedrooms 
Slyngveien 6b, Oslo,174 ,13 900 000,5
Malerhaugveien 34F, Oslo,74 ,5 650 000,3
Spireaveien 4E, Oslo,62 ,5 800 000,2
Ullernchausséen 110, Oslo,107 ,7 500 000,4
Bergstien 11B, Oslo,48 ,4 600 000,1
Bryggetorget 11, Oslo,98 ,13 250 000,2
Sondrevegen 6 B, Oslo,205 ,17 950 000,5
Hasleveien 1A, Oslo,63 ,5 900 000,2
Grefsenkollveien 14E, Oslo,84 ,5 030 000,3
Thereses gate 35B, Oslo,31 ,2 600 000,NaN
Birger Olivers vei 24B, Oslo,97 ,7 290 000,NaN
Agathe Grøndahls gate 44, Oslo,136 ,11 500 000,3
Hans Nielsen Hauges gate 15B, Oslo,50 ,3 350 000,1
Langes gate 4, Oslo,36 ,3 690 000,1
Krafts gate 2B, Oslo,65 ,6 300 000,2
Nils Bays vei 36, Oslo,66 ,6 000 000,2
Harald Sohlbergs vei 4, Oslo,73 ,3 370 000,2
Sørengkaia, Oslo,11 ,790 000,NaN
Grindbakken 42, Oslo,88 ,6 350 000,2
Drammensveien 61D, Oslo,65 ,5 800 000,2
Fugleliveien 17A, Oslo,221 ,10 200 000,4
Trudvangveien 41, Oslo,67 ,6 800 000,1
FREDENSBORGVEIEN 43, Oslo,40 ,5 100 000,1
Minister Ditleffs vei 11A, Oslo,34 ,3 000 000,NaN
St. Jørgens vei 19, Oslo,64 ,4 655 000,2
Grefsenveien 6C, Oslo,22 ,2 750 000,NaN
Lørenveien 64A, Oslo,62 ,3 500 000,2
Sofies gate 10B, Oslo,36 ,3 990 000,1
Trondheimsveien 162A, Oslo,56 ,3 900 000,1
Turbinveien 17, Oslo,67 ,3 320 000,2
Fernanda Nissens gate 6B, Oslo,67 ,6 700 000,2
Teisenveien 43, Oslo,31 ,2 800 000,1
Hoffsveien 61H, Oslo,62 ,4 990 000,2
Underhaugsveien 1B, Oslo,72 ,5 400 000,2
Othilie Tonnings vei 3, Oslo,72 ,4 800 000 ,NaN
Vilbergveien 1C, Oslo,99 ,7 500 000,3
Erling Skjalgssons gate 34B, Oslo,72 ,6 890 000,1
Mor Go´ hjertas vei 23, Oslo,23 ,2 590 000,1
Grønvoll Allè 28, Oslo,46 ,4 200 000,1
Christian Michelsens gate 1 A, Oslo,80 ,5 590 000,4
Bertrand Narvesens vei 9, Oslo,42 ,3 750 000,1
Lillebergveien 10, Oslo,63 ,4 950 000,2
Bøkkerveien 24C, Oslo,58 ,5 250 000,2
Bestumveien 37 H, Oslo,45 ,4 090 000,1
Sandakerveien 74 A, Oslo,70 ,5 795 000,2
Hans Nordahls gate 44, Oslo,83 ,8 990 000,2
Frydenbergveien 46D, Oslo,40 ,3 990 000,1
Skullerudveien 57, Oslo,47 ,3 100 000,1
Hammergata 18 A, Oslo,33 ,3 200 000,1
Herslebs gate 11, Oslo,62 ,4 600 000,1
Hovseterveien 68J, Oslo,26 ,2 590 000,NaN
Sigurds gate 20D, Oslo,35 ,3 690 000,1
Langes gate 6, Oslo,37 ,2 850 000,1
Sandakerveien 50 A, Oslo,56 ,4 900 000,2
Frysjaveien 25A, Oslo,84 ,6 750 000,3
Sørengkaia 70, Oslo,58 ,5 900 000,2
Kurveien 17, Oslo,68 ,5 500 000,1
Furuveien 26, Oslo,201 ,13 750 000,4
Bentsebrugata 16F, Oslo,52 ,4 500 000,1
Ebbells gate 5A, Oslo,37 ,2 620 000,1
Torshovgata 15 G, Oslo,37 ,3 500 000,1
Fridtjof Nansens vei 5C, Oslo,73 ,9 200 000,2
Grefsenveien 28, Oslo,75 ,5 480 000,2
